cor	gene
0.05	VKORC1
0.05	ELMO3
0.05	PKD1L3
0.05	DHODH
0.05	MTHFSD
0.05	TADA2A
0.05	STARD3
0.05	COX11
0.05	AC145207.5
0.05	CXXC1
0.05	C20orf197
0.05	AC016588.1
0.05	SUGP1
0.05	ZNF614
0.05	AC007228.2
0.049	C1orf174
0.049	CMPK1
0.049	SSBP3
0.049	ADGRL2
0.049	PRMT6
0.049	WNT2B
0.049	PRPF3
0.049	SLC50A1
0.049	DUSP23
0.049	RNASEH1-AS1
0.049	OTOF
0.049	NPHP1
0.049	CCNT2
0.049	CCL20
0.049	EPM2AIP1
0.049	C3orf38
0.049	EVC2
0.049	SLC38A9
0.049	ZCCHC9
0.049	ARRDC3-AS1
0.049	HINT1
0.049	ZFP62
0.049	SOX4
0.049	PEX3
0.049	AL355312.2
0.049	IQCE
0.049	ZNF680
0.049	PILRB
0.049	PPP1R35
0.049	AGK
0.049	GRIPAP1
0.049	ARFGEF1
0.049	CYHR1
0.049	GPT
0.049	ZNF250
0.049	AC022762.2
0.049	DRD2
0.049	VPS26B
0.049	NUDT5
0.049	BTRC
0.049	COPS7A
0.049	MED21
0.049	AC009318.3
0.049	SHMT2
0.049	METTL25
0.049	HECTD4
0.049	C12orf49
0.049	MLXIP
0.049	TPTE2
0.049	PCDH9
0.049	TEX30
0.049	IPO4
0.049	RAD51B
0.049	SNAPC5
0.049	LYSMD4
0.049	AC022167.3
0.049	KIF22
0.049	C17orf80
0.049	SPIRE1
0.049	BFSP1
0.049	FAM83D
0.049	MATN4
0.049	RBPJL
0.049	AC005329.1
0.049	RAVER1
0.049	DNM2
0.049	RAB3A
0.049	ZNF253
0.049	ZNF675
0.049	ZNF181
0.049	AC020928.1
0.049	NOSIP
0.049	SPECC1L
0.049	Z93930.2
0.049	DNAL4
0.049	PNPLA3
0.049	FP236383.3
0.048	LYPLA2
0.048	GPX7
0.048	SCP2
0.048	OMA1
0.048	GSTM3
0.048	DENND2C
0.048	SMG5
0.048	ZNF281
0.048	ARL8A
0.048	AL136379.1
0.048	TRIM11
0.048	ZNF496
0.048	AC006369.1
0.048	FBXO11
0.048	HK2
0.048	ANKRD39
0.048	RAMP1
0.048	OSBPL10
0.048	HYAL2
0.048	ARL13B
0.048	FAIM
0.048	PRKCI
0.048	DCUN1D1
0.048	ETV5
0.048	DGKQ
0.048	STX18-AS1
0.048	STK32B
0.048	PDS5A
0.048	GNPDA2
0.048	PDGFC
0.048	SDHA
0.048	AC114947.2
0.048	LRRTM2
0.048	PURA
0.048	PCDH12
0.048	ZNF300
0.048	LSM11
0.048	EBF1
0.048	LCA5
0.048	SIM1
0.048	TBPL1
0.048	RGS17
0.048	SYNJ2
0.048	FSCN1
0.048	AC073333.1
0.048	AC093668.2
0.048	CXorf38
0.048	UXT
0.048	ARMCX4
0.048	TCEAL3-AS1
0.048	MORF4L2-AS1
0.048	HPRT1
0.048	AC100810.1
0.048	MCPH1-AS1
0.048	PDGFRL
0.048	INTS10
0.048	VLDLR
0.048	APTX
0.048	AL354920.1
0.048	C9orf64
0.048	DOLPP1
0.048	UCK1
0.048	TTF1
0.048	DBH-AS1
0.048	AL355987.3
0.048	CDKN1C
0.048	FADS1
0.048	MRPL48
0.048	ZDHHC16
0.048	OLMALINC
0.048	SLF2
0.048	FAM66C
0.048	AC008121.2
0.048	SPRYD4
0.048	NT5DC3
0.048	TSC22D1
0.048	CDADC1
0.048	RNASEH2B
0.048	AP4S1
0.048	FOXA1
0.048	NEMF
0.048	SIX1
0.048	HAUS2
0.048	AC068724.1
0.048	DTWD1
0.048	GLCE
0.048	ISL2
0.048	RHBDL1
0.048	NOMO3
0.048	SLC7A6
0.048	SLC7A6OS
0.048	RFWD3
0.048	MAPK7
0.048	TBC1D3L
0.048	AOC2
0.048	CDK3
0.048	TRAPPC8
0.048	C18orf21
0.048	SOCS6
0.048	ZNF334
0.048	GMEB2
0.048	FCER2
0.048	SWSAP1
0.048	STX10
0.048	MVB12A
0.048	ZNF726
0.048	GAPDHS
0.048	TTC9B
0.048	MAFIP
0.047	DFFB
0.047	ZBTB48
0.047	EFHD2
0.047	AL050343.2
0.047	ACOT11
0.047	RUSC1
0.047	NHLH1
0.047	AL121985.1
0.047	IMMT
0.047	TTL
0.047	AC013468.1
0.047	SFMBT1
0.047	HGD
0.047	RAB7A
0.047	IL20RB
0.047	TMEM44
0.047	FGFR3
0.047	PGM2
0.047	AC106864.2
0.047	SPRY1
0.047	ELF2
0.047	SCOC-AS1
0.047	EXOC3
0.047	NNT-AS1
0.047	ATG10
0.047	FAM193B
0.047	TRIM41
0.047	ERMARD
0.047	COA1
0.047	CLDN12
0.047	SLC12A9
0.047	AC006333.2
0.047	UBN2
0.047	PIR
0.047	AC092198.1
0.047	AL022157.1
0.047	GLA
0.047	LONRF1
0.047	ZDHHC2
0.047	AC107959.4
0.047	DPYSL2
0.047	AP002852.1
0.047	FANCC
0.047	ZNF782
0.047	COL27A1
0.047	TOR2A
0.047	RABL6
0.047	ANAPC2
0.047	BTBD10
0.047	SLC39A13
0.047	INPPL1
0.047	FDXACB1
0.047	MSANTD2
0.047	SYT15
0.047	AC083805.2
0.047	CAND1
0.047	MYRFL
0.047	CPB2-AS1
0.047	ATP6V1D
0.047	TTC9
0.047	AC126335.1
0.047	CASC4
0.047	INTS14
0.047	ADPGK
0.047	CRAMP1
0.047	BRICD5
0.047	AC026401.3
0.047	ATP2A1
0.047	CCDC102A
0.047	SETD6
0.047	PARD6A
0.047	MLYCD
0.047	VPS9D1
0.047	SHPK
0.047	NMT1
0.047	DCAF7
0.047	CBX4
0.047	FN3K
0.047	TWSG1
0.047	INO80C
0.047	PIAS2
0.047	TASP1
0.047	PET117
0.047	SERINC3
0.047	BIRC7
0.047	NRTN
0.047	AC006504.5
0.047	ZNF790
0.047	CD33
0.047	PEG3
0.047	CABIN1
0.047	AL031590.1
0.047	POLDIP3
0.047	SH3BGR
0.046	FO704657.1
0.046	SPOCD1
0.046	PHC2
0.046	AL606760.2
0.046	DBT
0.046	WARS2
0.046	CRTC2
0.046	ATF6
0.046	LPGAT1
0.046	UCN
0.046	RBKS
0.046	EPB41L5
0.046	PRKRA
0.046	STK16
0.046	VGLL4
0.046	CX3CR1
0.046	ZNF197
0.046	HEMK1
0.046	NMD3
0.046	FBXO45
0.046	MTHFD2L
0.046	TRAPPC11
0.046	RGMB
0.046	CDC25C
0.046	POU4F3
0.046	KDM1B
0.046	HOXA10
0.046	ZNF117
0.046	GTF2IRD2B
0.046	TRBV1
0.046	FUNDC1
0.046	ZNF674-AS1
0.046	CHST7
0.046	TAF1
0.046	C8orf37
0.046	AL391834.1
0.046	ZFAND5
0.046	SLC25A25-AS1
0.046	NAP1L4
0.046	TRIM5
0.046	C11orf94
0.046	HMBS
0.046	AP001318.2
0.046	MLLT10
0.046	BMI1
0.046	AL158211.2
0.046	LINC00843
0.046	JMJD1C-AS1
0.046	REEP3
0.046	VPS26A
0.046	SMC3
0.046	RHNO1
0.046	U47924.3
0.046	ST8SIA1
0.046	IPO8
0.046	TMBIM6
0.046	AC073896.3
0.046	STAC3
0.046	AGAP2-AS1
0.046	DEPDC4
0.046	SCYL2
0.046	C12orf42
0.046	RALGAPA1
0.046	VTI1B
0.046	AL133467.4
0.046	AC010809.2
0.046	SNX22
0.046	POLR3E
0.046	COIL
0.046	RBBP8
0.046	NFATC1
0.046	CCM2L
0.046	ACSS2
0.046	STX16
0.046	GID8
0.046	ZNF317
0.046	RFX1
0.046	ZNF383
0.046	RPL13A
0.046	ZNF547
0.046	ZNF134
0.046	ZBTB45
0.046	ZDHHC8
0.046	ZNF74
0.046	RAB36
0.045	SKI
0.045	COL16A1
0.045	CDCP2
0.045	AC119674.1
0.045	SGIP1
0.045	PIAS3
0.045	CHTOP
0.045	BATF3
0.045	RDH14
0.045	PUM2
0.045	DNMT3A
0.045	SELENOI
0.045	SLC3A1
0.045	ATP6V1E2
0.045	DGUOK-AS1
0.045	DNAH6
0.045	PLGLB1
0.045	TMEM127
0.045	PPIG
0.045	AC007038.1
0.045	TMEM198
0.045	TRAK1
0.045	LARS2
0.045	PODXL2
0.045	CTBP1-DT
0.045	FHDC1
0.045	HEXB
0.045	FER
0.045	AC010226.1
0.045	SEMA6A-AS1
0.045	AC008443.6
0.045	PGBD1
0.045	ZSCAN31
0.045	TFEB
0.045	PEX7
0.045	EPM2A
0.045	AC091729.3
0.045	FOXK1
0.045	CDK13
0.045	ZNF92
0.045	TRIM24
0.045	ZC3HAV1L
0.045	DIAPH2
0.045	FIRRE
0.045	RTL8A
0.045	PNMA6A
0.045	AC009630.2
0.045	AC023590.1
0.045	AF230666.1
0.045	AL358781.1
0.045	NR1H3
0.045	TTC9C
0.045	SKIDA1
0.045	AC016394.2
0.045	MINPP1
0.045	VTI1A
0.045	NEDD1
0.045	AC026333.3
0.045	FBXO34
0.045	AL359317.2
0.045	AL049840.2
0.045	GANC
0.045	CPLX3
0.045	KAT8
0.045	C16orf95
0.045	OR3A2
0.045	CYB5D1
0.045	NR1D1
0.045	RUNDC1
0.045	SGSH
0.045	TGIF1
0.045	AC090912.1
0.045	CDH2
0.045	CTDP1
0.045	SS18L1
0.045	CRB3
0.045	ZNF562
0.045	ZNF525
0.045	MORC2
0.045	SELENOO
0.045	RBM11
0.045	SCAF4
0.044	FNDC10
0.044	GPR157
0.044	AL031283.1
0.044	PEF1
0.044	AL512353.1
0.044	AL592166.1
0.044	AL357078.1
0.044	UCK2
0.044	AL392172.1
0.044	IBA57
0.044	AL445524.1
0.044	ATRAID
0.044	NRBP1
0.044	THUMPD2
0.044	PAPOLG
0.044	APLF
0.044	AC007681.1
0.044	SEPT10
0.044	ATF2
0.044	STRADB
0.044	TMEM43
0.044	DNAH12
0.044	RNF13
0.044	SERPINI1
0.044	TADA2B
0.044	AC110615.1
0.044	SCARB2
0.044	WDFY3
0.044	ETFDH
0.044	POC5
0.044	SV2C
0.044	AFF4
0.044	FAM114A2
0.044	SLU7
0.044	RING1
0.044	TBC1D22B
0.044	AL356599.1
0.044	WDR27
0.044	CCZ1B
0.044	AC073332.1
0.044	AC008267.5
0.044	ZNF789
0.044	CAV1
0.044	CREB3L2
0.044	KLRG2
0.044	SRPX
0.044	HNRNPH2
0.044	ARMCX2
0.044	RBMX2
0.044	GOLGA7
0.044	ZNF251
0.044	ZNF169
0.044	WDR31
0.044	LRRC8A
0.044	LCN12
0.044	FAM160A2
0.044	USP47
0.044	ALKBH8
0.044	AKR1E2
0.044	AKR1C1
0.044	ARHGAP12
0.044	CFAP70
0.044	HECTD2
0.044	ZRANB1
0.044	MTG1
0.044	FOXM1
0.044	TIGAR
0.044	R3HDM2
0.044	CAPS2
0.044	NDUFA12
0.044	ALDH2
0.044	BCL7A
0.044	DIABLO
0.044	DIABLO.1
0.044	ABCB9
0.044	LINC02340
0.044	LINC00598
0.044	NRL
0.044	IGHA1
0.044	TUBGCP4
0.044	ZFAND6
0.044	MEIOB
0.044	PKD1
0.044	ZNF174
0.044	TVP23A
0.044	AC092720.2
0.044	GID4
0.044	COA3
0.044	ACSF2
0.044	C17orf67
0.044	RAB31
0.044	ZNF136
0.044	SHKBP1
0.044	RPS19
0.044	FKRP
0.044	ZNF865
0.043	ALDH4A1
0.043	SNIP1
0.043	SZT2
0.043	KDM4A-AS1
0.043	TACSTD2
0.043	SLC35D1
0.043	SYT6
0.043	MUC1
0.043	AL365181.3
0.043	C1orf112
0.043	SPRTN
0.043	KIF26B
0.043	ZNF669
0.043	ZNF124
0.043	CAMKMT
0.043	AC009501.1
0.043	IGKV2D-30
0.043	SEMA4C
0.043	AC009506.1
0.043	ALS2
0.043	LANCL1
0.043	ZKSCAN7
0.043	NCKIPSD
0.043	ARL6
0.043	GCSAM
0.043	TMCC1
0.043	AC233280.1
0.043	UBXN7
0.043	ZNF595
0.043	PCDH7
0.043	SMIM14
0.043	MOB1B
0.043	AC114811.2
0.043	AC093591.2
0.043	C7
0.043	AC025171.2
0.043	LINC01337
0.043	RGMB-AS1
0.043	AC008608.2
0.043	DNAJC18
0.043	PCDHB9
0.043	HMHB1
0.043	SLIT3
0.043	RMND5B
0.043	TDP2
0.043	ZKSCAN8
0.043	RMND1
0.043	WTAP
0.043	AMZ1
0.043	ARL4A
0.043	TRGV3
0.043	URGCP
0.043	PKD1L1
0.043	MTERF1
0.043	SH2B2
0.043	ARSD
0.043	BCOR
0.043	WNK3
0.043	TMEM31
0.043	MID2
0.043	NAA10
0.043	TNFRSF10A
0.043	TMEM68
0.043	MTFR1
0.043	CHRAC1
0.043	ZNF707
0.043	ABHD17B
0.043	AL353764.1
0.043	FADS2
0.043	ARL2-SNX15
0.043	AP002383.2
0.043	SLC37A4
0.043	FAM118B
0.043	SENCR
0.043	NET1
0.043	AL512598.1
0.043	RAB18
0.043	ANTXRL
0.043	NRBF2
0.043	TBC1D12
0.043	ENTPD1-AS1
0.043	SH3PXD2A
0.043	FOXJ2
0.043	TROAP
0.043	AC068789.1
0.043	THAP2
0.043	NUDT4
0.043	AL162377.3
0.043	SOX1
0.043	UPF3A
0.043	HIF1A-AS1
0.043	AC005225.3
0.043	ATXN3
0.043	BTBD6
0.043	VPS18
0.043	PKM
0.043	EFL1
0.043	ZNF263
0.043	C16orf72
0.043	TXNDC11
0.043	CES3
0.043	ZNF778
0.043	ALOX15
0.043	ENO3
0.043	COX10
0.043	AC023389.1
0.043	SUZ12
0.043	FAM215B
0.043	AC005884.2
0.043	CD300LB
0.043	SETBP1
0.043	AC093567.1
0.043	ACAA2
0.043	VPS4B
0.043	ISM1
0.043	MACROD2
0.043	MAPRE1
0.043	AL031663.3
0.043	AC005808.1
0.043	AC003973.2
0.043	ZNF507
0.043	ZNF793
0.043	ZNF780A
0.043	PRX
0.043	CNFN
0.043	ZNF765
0.043	ZNF813
0.043	AC005498.2
0.043	Z97192.2
0.043	RWDD2B
0.042	HES4
0.042	AL136528.1
0.042	TAS1R1
0.042	ERRFI1
0.042	AL035413.1
0.042	LRRC41
0.042	DR1
0.042	STRIP1
0.042	NUAK2
0.042	RNF187
0.042	TSNAX-DISC1
0.042	ZNF692
0.042	ATAD2B
0.042	EFR3B
0.042	SLC30A3
0.042	MBD5
0.042	GLS
0.042	ING5
0.042	SH3BP5-AS1
0.042	AC006059.1
0.042	AC109587.1
0.042	CD80
0.042	KALRN
0.042	SH3TC1
0.042	DCAF4L1
0.042	RAP1GDS1
0.042	SMARCA5-AS1
0.042	CDKN2AIP
0.042	COMMD10
0.042	AL157373.2
0.042	HCG15
0.042	DXO
0.042	PACSIN1
0.042	AL451165.2
0.042	AL021368.3
0.042	EPB41L2
0.042	TRA2A
0.042	GUSB
0.042	TMEM243
0.042	CFAP69
0.042	DLX6
0.042	EPHB4
0.042	AC105446.1
0.042	AC007938.2
0.042	RRAGB
0.042	TIMM8A
0.042	RFX3
0.042	AL390760.1
0.042	MSANTD3
0.042	SLC34A3
0.042	STK33
0.042	AC004923.4
0.042	ARRB1
0.042	ALG9
0.042	AL731533.2
0.042	INA
0.042	AC087257.1
0.042	BICD1
0.042	SLC11A2
0.042	AC090502.1
0.042	AC063943.1
0.042	AC127070.1
0.042	SPART
0.042	RBM26-AS1
0.042	CLMN
0.042	WDR20
0.042	KNSTRN
0.042	AC068724.3
0.042	CTDSPL2
0.042	FAM214A
0.042	SENP8
0.042	FBXO22
0.042	AC109809.1
0.042	TM2D3
0.042	PIGQ
0.042	TRAF7
0.042	LINC01569
0.042	AC126763.1
0.042	ATP2A1-AS1
0.042	CRNDE
0.042	CPNE2
0.042	SDR42E1
0.042	MBTPS1
0.042	AC040169.1
0.042	AC004148.2
0.042	TNFAIP1
0.042	FBXL20
0.042	ARL17A
0.042	AC091180.4
0.042	TOM1L1
0.042	THOC1
0.042	GAPLINC
0.042	AC100778.3
0.042	SHLD1
0.042	AL121900.2
0.042	AL391095.1
0.042	CHD6
0.042	L3MBTL1
0.042	UBE2V1
0.042	TRIP10
0.042	AC011511.5
0.042	ZNF441
0.042	DLL3
0.042	DM1-AS
0.042	PTOV1-AS1
0.042	SYT3
0.042	AC008735.2
0.042	ZNF470
0.042	AC004076.2
0.042	AC010522.1
0.042	MIF-AS1
0.042	AL022329.2
0.042	SMC1B
0.042	PTTG1IP
0.042	AL592528.1
0.041	SAMD11
0.041	MORN1
0.041	CASP9
0.041	MATN1
0.041	CITED4
0.041	HHLA3
0.041	CTBS
0.041	KYAT3
0.041	RBMXL1
0.041	RBM15
0.041	LRIG2
0.041	ADCY10
0.041	EGLN1
0.041	LINC00298
0.041	KIDINS220
0.041	DTNB
0.041	PPP1CB
0.041	INO80D
0.041	IQCA1
0.041	PASK
0.041	LINC00620
0.041	NKIRAS1
0.041	ITGA9
0.041	C3orf62
0.041	MUSTN1
0.041	ZBTB11
0.041	TMCC1-AS1
0.041	ATP2C1
0.041	HES1
0.041	AC090505.2
0.041	AP001816.1
0.041	UBE2D3
0.041	CEP72
0.041	AC021086.1
0.041	SNX2
0.041	PCDHGB2
0.041	AC138035.2
0.041	ALDH5A1
0.041	LEMD2
0.041	USP45
0.041	ARMT1
0.041	TULP4
0.041	GPNMB
0.041	UBE2D4
0.041	LANCL2
0.041	AC000058.1
0.041	ATP5MF-PTCD1
0.041	TNPO3
0.041	RHEB
0.041	OPHN1
0.041	NXT2
0.041	ERI1
0.041	TUSC3
0.041	DGAT1
0.041	DMRT2
0.041	C9orf85
0.041	COL15A1
0.041	TMEFF1
0.041	AL360004.1
0.041	MED22
0.041	AL445931.1
0.041	BET1L
0.041	FADS3
0.041	LRFN4
0.041	BIRC2
0.041	MEIG1
0.041	ABCC2
0.041	HPS6
0.041	GBF1
0.041	DUSP5
0.041	IKZF5
0.041	WBP11
0.041	RNF41
0.041	PAN2
0.041	CORO1C
0.041	AC073912.1
0.041	MTRF1
0.041	TGDS
0.041	ZIC2
0.041	MDP1
0.041	AL121809.1
0.041	SIX4
0.041	SYNJ2BP-COX16
0.041	LIN52
0.041	ISCA2
0.041	BRF1
0.041	MGA
0.041	AC025430.1
0.041	AC025580.2
0.041	ZNF200
0.041	AC109597.2
0.041	IST1
0.041	GSE1
0.041	CYB5D2
0.041	GPR179
0.041	PGAP3
0.041	GGA3
0.041	AC139530.1
0.041	AC118757.1
0.041	AL035461.2
0.041	MAFB
0.041	AC005523.2
0.041	GATAD2A
0.041	CD79A
0.041	ZNF761
0.041	ZNF776
0.041	SLC35E4
0.041	CELSR1
0.04	AL627309.1
0.04	DNAJC6
0.04	LRRC40
0.04	S100A5
0.04	GATAD2B
0.04	ASH1L-AS1
0.04	KLHDC9
0.04	FCRLB
0.04	CFH
0.04	LINC01353
0.04	CNTN2
0.04	BPNT1
0.04	AC012507.1
0.04	HDAC11
0.04	COLQ
0.04	SPICE1
0.04	LXN
0.04	SENP5
0.04	AC105345.1
0.04	PDCD6
0.04	ATP6AP1L
0.04	PCDHB13
0.04	PCDHGA5
0.04	HTR4
0.04	WRNIP1
0.04	AL109914.1
0.04	NFKBIL1
0.04	AL645940.1
0.04	FAM135A
0.04	HDAC2-AS2
0.04	ELMO1
0.04	LINC00265
0.04	DBF4
0.04	CYP3A5
0.04	CCDC136
0.04	USP27X
0.04	SPIN3
0.04	ENTPD4
0.04	AC009630.1
0.04	SLC1A1
0.04	IPPK
0.04	TTLL11
0.04	C9orf116
0.04	TRIM66
0.04	FBXO3
0.04	AAMDC
0.04	JHY
0.04	AL390835.1
0.04	CELF2
0.04	ITGB1
0.04	ZMIZ1
0.04	AC006064.1
0.04	LINC01252
0.04	CAPRIN2
0.04	PRPF40B
0.04	TNS2
0.04	ITGA5
0.04	CRY1
0.04	TMEM116
0.04	TBX3
0.04	ZNF891
0.04	POLR1D
0.04	NEK3
0.04	STK24
0.04	BCL2L2-PABPN1
0.04	LINC02288
0.04	EML5
0.04	SETD3
0.04	IGHV3-36
0.04	CTXN2
0.04	RFX7
0.04	LINC00235
0.04	ZG16B
0.04	MKL2
0.04	MIR193BHG
0.04	SULT1A3
0.04	RANBP10
0.04	COG4
0.04	AC092376.2
0.04	DVL2
0.04	KCNAB3
0.04	PMP22
0.04	NT5M
0.04	AC004253.1
0.04	CDC27
0.04	SYNGR2
0.04	MAFG
0.04	AP000894.4
0.04	KATNAL2
0.04	LINC00909
0.04	RALY
0.04	CEBPB-AS1
0.04	LINC00659
0.04	CERS4
0.04	ZNF414
0.04	ZNF791
0.04	ZNF430
0.04	ZNF526
0.04	LIPE
0.04	PPP1R37
0.04	ZNF444
0.04	ZNF264
0.04	ZNF416
0.04	AC245060.6
0.04	SLC16A8
0.04	CHKB-DT
0.04	RSPH1
0.039	KLHL17
0.039	KLHL21
0.039	DDI2
0.039	TMEM200B
0.039	ANXA9
0.039	FAM20B
0.039	ASCL5
0.039	AL513283.1
0.039	FBXO28
0.039	ZNF678
0.039	AL353593.1
0.039	CNST
0.039	POMC
0.039	ARHGEF33
0.039	CHN1
0.039	LNPK
0.039	AC026202.2
0.039	NBEAL2
0.039	PSMD6-AS2
0.039	CNBP
0.039	ACAD11
0.039	WWTR1
0.039	AC104662.2
0.039	TMEM33
0.039	THAP9
0.039	HSD17B13
0.039	PPP3CA
0.039	RNF150
0.039	AC097467.3
0.039	C4orf46
0.039	AC093788.1
0.039	SERF1A
0.039	CRHBP
0.039	NUDT12
0.039	CSNK1G3
0.039	TSPAN17
0.039	NSD1
0.039	ZNF354C
0.039	ZSCAN12
0.039	LY6G6C
0.039	AL390208.1
0.039	LAMA2
0.039	FBXO30
0.039	KATNA1
0.039	AC147651.4
0.039	NUDCD3
0.039	FKBP6
0.039	ABCB1
0.039	PTCD1
0.039	AC093668.1
0.039	ACTR3B
0.039	ESYT2
0.039	IRAK1
0.039	AC083964.1
0.039	MCPH1
0.039	GATA4
0.039	AC022893.1
0.039	OTUD6B-AS1
0.039	FZD6
0.039	EMC2
0.039	LRRC14
0.039	AQP3
0.039	TMEM8B
0.039	FAM27C
0.039	RNF20
0.039	NIPSNAP3A
0.039	NCR3LG1
0.039	OR4C11
0.039	AP003108.2
0.039	AP000763.4
0.039	RBM7
0.039	REXO2
0.039	DCPS
0.039	PRPF18
0.039	STOX1
0.039	EEF1AKMT2
0.039	GNB3
0.039	EEF1AKMT3
0.039	ATXN2-AS
0.039	POP5
0.039	PXMP2
0.039	CDK8
0.039	USPL1
0.039	RBM23
0.039	PRPF39
0.039	RDH11
0.039	LINC00239
0.039	NDN
0.039	SNRPN
0.039	UBR1
0.039	UNKL
0.039	AC126755.2
0.039	EIF3CL
0.039	SGF29
0.039	SULT1A2
0.039	BOLA2B
0.039	SIAH1
0.039	WDR59
0.039	FAM83G
0.039	MAP2K3
0.039	SLFN12
0.039	DLX4
0.039	C17orf58
0.039	CDC42EP4
0.039	SLC38A10
0.039	ESCO1
0.039	AC090360.1
0.039	VPS16
0.039	MROH8
0.039	ACOT8
0.039	TSHZ2
0.039	AL121845.3
0.039	SAMD10
0.039	PEX11G
0.039	AC022146.2
0.039	RAB11B
0.039	ECSIT
0.039	ARMC6
0.039	ZNF85
0.039	LINC01535
0.039	ZNF793-AS1
0.039	SLC25A17
0.039	ZC3H7B
0.038	FAM213B
0.038	THAP3
0.038	AL031731.1
0.038	CROCC
0.038	AKR7A3
0.038	C1orf50
0.038	ALG6
0.038	PKN2
0.038	AC095033.1
0.038	GNAI3
0.038	AHCYL1
0.038	NUDT4B
0.038	OTUD7B
0.038	OAZ3
0.038	S100A9
0.038	PEAR1
0.038	FMO4
0.038	XPR1
0.038	HS1BP3
0.038	AC016722.2
0.038	AC093110.1
0.038	PUS10
0.038	KDM3A
0.038	LIPT1
0.038	LINC01473
0.038	CCNYL1
0.038	FZD5
0.038	ZFAND2B
0.038	SCLY
0.038	KIF9-AS1
0.038	TMEM89
0.038	FAM208A
0.038	CD200R1
0.038	AC007620.3
0.038	PCGF3
0.038	TBCK
0.038	RNF180
0.038	SREK1
0.038	PPT2
0.038	TRERF1
0.038	ICK
0.038	IRAK1BP1
0.038	RPS12
0.038	AL590617.2
0.038	PPP1R14C
0.038	AL390955.2
0.038	AFDN-DT
0.038	VPS37D
0.038	STEAP2
0.038	OR2A1-AS1
0.038	REPIN1
0.038	PGK1
0.038	TCEAL8
0.038	NAT1
0.038	CDCA2
0.038	POP1
0.038	ZNF16
0.038	CNTLN
0.038	STX17
0.038	PAPPA
0.038	SLC2A8
0.038	RPL12
0.038	CHRNA10
0.038	AC026250.1
0.038	FANCF
0.038	ACP2
0.038	KAT5
0.038	IL18BP
0.038	FAM208B
0.038	SHLD2
0.038	FGFBP3
0.038	UBTD1
0.038	AL133353.1
0.038	EIF2S3B
0.038	TMEM117
0.038	MAPKAPK5-AS1
0.038	STX2
0.038	COMMD6
0.038	KIAA0586
0.038	AL139022.2
0.038	SERF2
0.038	SCAPER
0.038	MTHFS
0.038	DNASE1L2
0.038	MOSMO
0.038	ZNF23
0.038	ATMIN
0.038	GAN
0.038	AC091153.3
0.038	SAT2
0.038	TRAPPC1
0.038	COG1
0.038	RAC3
0.038	AP001020.3
0.038	B4GALT6
0.038	SLC14A2
0.038	FOXA2
0.038	OSBPL2
0.038	GATA5
0.038	RANBP3
0.038	SLC25A41
0.038	SLC25A23
0.038	AC010618.3
0.038	ZNF682
0.038	AC123912.1
0.038	ZNF254
0.038	HKR1
0.038	ITPKC
0.038	SMG9
0.038	QPCTL
0.038	ZNF415
0.038	AC011476.3
0.038	RIMBP3B
0.038	SEC14L3
0.038	FP565260.1
0.038	KCNE2
0.038	LINC00114
0.038	HSF2BP
0.037	AL033527.5
0.037	MFSD2A
0.037	TRABD2B
0.037	GIPC2
0.037	HS2ST1
0.037	CDC7
0.037	CEPT1
0.037	GOLPH3L
0.037	LYSMD1
0.037	DCST1-AS1
0.037	RGS5
0.037	SLC19A2
0.037	STX6
0.037	INAVA
0.037	FCAMR
0.037	SPATA17
0.037	ZBTB18
0.037	AC104695.1
0.037	USP34
0.037	WBP1
0.037	AC005034.3
0.037	ZNF2
0.037	CNNM3
0.037	DARS
0.037	AC114763.1
0.037	PLEKHM3
0.037	PLCD4
0.037	WNT6
0.037	QRICH1
0.037	ABHD6
0.037	FAM193A
0.037	SEPSECS
0.037	SCD5
0.037	LAMTOR3
0.037	TIFA
0.037	LARP7
0.037	ACSL1
0.037	PLK2
0.037	AC026726.1
0.037	AC008494.3
0.037	KDM3B
0.037	AC135457.1
0.037	CD14
0.037	MFAP3
0.037	GABRA1
0.037	TUBB2A
0.037	FARS2
0.037	ZNF391
0.037	BRPF3
0.037	SAYSD1
0.037	CUL9
0.037	AL021368.1
0.037	SDHAF4
0.037	AC019117.1
0.037	PURB
0.037	AC092634.3
0.037	ADAM22
0.037	OR2AE1
0.037	UPK3BL1
0.037	AC015987.1
0.037	ZNF282
0.037	PHKA2
0.037	KCND1
0.037	ASB12
0.037	YTHDF3-AS1
0.037	AC018442.2
0.037	SAMD12
0.037	AC108002.1
0.037	RIC1
0.037	ZCCHC7
0.037	GCNT1
0.037	VPS13A
0.037	CDK20
0.037	HEMGN
0.037	FKBP15
0.037	TMEM268
0.037	ZBTB6
0.037	BRD3
0.037	PKP3
0.037	GTF2H1
0.037	PATL1
0.037	SYT7
0.037	AP001453.2
0.037	MEN1
0.037	TMEM126B
0.037	MED17
0.037	AP000766.1
0.037	OAF
0.037	KIRREL3
0.037	DHTKD1
0.037	ITGB1-DT
0.037	BTBD16
0.037	AC004803.1
0.037	SLC2A13
0.037	GPD1
0.037	AC068888.1
0.037	SOAT2
0.037	HOXC5
0.037	AC025162.1
0.037	MON2
0.037	RSRC2
0.037	PAN3
0.037	SOHLH2
0.037	TRAJ31
0.037	KLHDC1
0.037	JKAMP
0.037	ZFP36L1
0.037	ZNF410
0.037	IFI27L1
